id,parent_id/id,code,name
__export__.sni_433,,433,Slutbehandling av byggnader
__export__.sni_439,,439,Annan specialiserad bygg- och anläggningsverksamhet
__export__.sni_451,,451,Handel med motorfordon utom motorcyklar
__export__.sni_452,,452,Underhåll och reparation av motorfordon utom motorcyklar
__export__.sni_453,,453,Handel med reservdelar och tillbehör till motorfordon utom motorcyklar
__export__.sni_454,,454,Handel med och service av motorcyklar inklusive reservdelar och tillbehör
__export__.sni_461,,461,Provisionshandel utom med motorfordon
__export__.sni_462,,462,Partihandel med jordbruksråvaror och levande djur
__export__.sni_463,,463,"Partihandel med livsmedel, drycker och tobak"
__export__.sni_464,,464,Partihandel med hushållsvaror
__export__.sni_465,,465,Partihandel med informations- och kommunikationsutrustning
__export__.sni_466,,466,Partihandel med övriga maskiner och övrig utrustning
__export__.sni_467,,467,Annan specialiserad partihandel
__export__.sni_469,,469,Övrig partihandel
__export__.sni_471,,471,Detaljhandel med brett sortiment
__export__.sni_472,,472,"Specialiserad butikshandel med livsmedel, drycker och tobak"
__export__.sni_473,,473,Specialiserad detaljhandel med drivmedel
__export__.sni_474,,474,Specialiserad butikshandel med informations- och kommunikationsutrustning
__export__.sni_475,,475,Specialiserad butikshandel med heminredningsartiklar och husgeråd
__export__.sni_476,,476,Specialiserad butikshandel med kultur- och fritidsartiklar
__export__.sni_477,,477,Övrig specialiserad butikshandel med hushållsvaror
__export__.sni_478,,478,Torg- och marknadshandel
__export__.sni_479,,479,"Detaljhandel ej i butik, på torg eller marknad"
__export__.sni_491,,491,"Järnvägstransport, passagerartrafik"
__export__.sni_492,,492,"Järnvägstransport, godstrafik"
__export__.sni_493,,493,"Annan landtransport, passagerartrafik"
__export__.sni_494,,494,"Vägtransport, godstrafik och flyttjänster"
__export__.sni_495,,495,Transport i rörsystem
__export__.sni_501,,501,"Havs- och kustsjöfart, passagerartrafik"
__export__.sni_502,,502,"Havs- och kustsjöfart, godstrafik"
__export__.sni_503,,503,"Sjöfart på inre vattenvägar, passagerartrafik"
__export__.sni_504,,504,"Sjöfart på inre vattenvägar, godstrafik"
__export__.sni_511,,511,"Lufttransport, passagerartrafik"
__export__.sni_512,,512,"Lufttransport, godstrafik och rymdfart"
__export__.sni_521,,521,Magasinering och varulagring
__export__.sni_522,,522,Stödtjänster till transport
__export__.sni_531,,531,Postbefordran via nationella posten
__export__.sni_532,,532,Annan postbefordran samt kurirverksamhet
__export__.sni_551,,551,Hotellverksamhet
__export__.sni_552,,552,Semesterbostäder och annan korttidsinkvartering
